Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00087.419998	+35.844944	+128.625580	+00.310000	+23.000000	318.9	056.400002	+00.000000	0	
+00115.510002	+35.844913	+128.625656	+04.252566	+20.740000	278.5	060.099998	+00.000000	1	
+00121.309998	+35.844898	+128.625656	+04.271073	+20.580000	278.0	060.900002	+00.000000	2	
+00127.320000	+35.844875	+128.625687	+04.272328	+20.520000	278.0	061.599998	+00.000000	3	
+00132.490005	+35.844875	+128.625717	+04.243626	+20.469999	278.1	062.200001	+00.000000	4	
+00135.589996	+35.844913	+128.625702	+04.209492	+20.379999	277.7	062.599998	+00.000000	5	
+00143.699997	+35.844929	+128.625763	+04.223505	+20.270000	277.4	063.099998	+00.000000	6	
+00147.770004	+35.844879	+128.625885	+04.230069	+20.219999	277.1	063.799999	+00.000000	7	
+00154.149994	+35.844818	+128.625977	+04.207043	+20.129999	276.4	064.400002	+00.000000	8	
+00158.639999	+35.844784	+128.625961	+04.180930	+20.080000	275.4	064.900002	+00.000000	9	
+00164.630005	+35.844788	+128.625931	+04.172128	+20.049999	274.1	065.300003	+00.000000	10	
+00170.619995	+35.844822	+128.626007	+04.160888	+20.049999	273.4	065.699997	+00.000000	11	
+00177.710007	+35.844845	+128.626129	+04.147542	+20.000000	273.1	066.199997	+00.000000	12	
+00185.139999	+35.844810	+128.626190	+04.115555	+19.940001	272.9	066.599998	+00.000000	13	
+00189.949997	+35.844734	+128.626221	+04.068297	+19.910000	272.4	066.800003	+00.000000	14	
+00198.300003	+35.844715	+128.626221	+04.048974	+19.799999	271.6	067.099998	+00.000000	15	
+00200.449997	+35.844769	+128.626251	+04.083209	+19.719999	271.1	067.400002	+00.000000	16	
+00206.600006	+35.844837	+128.626312	+04.079834	+19.670000	270.8	067.699997	+00.000000	17	
+00213.910004	+35.844807	+128.626389	+04.090767	+19.590000	270.3	068.000000	+00.000000	18	
+00216.550003	+35.844719	+128.626450	+04.118657	+19.530001	269.9	068.400002	+00.000000	19	
+00225.300003	+35.844681	+128.626465	+04.146641	+19.480000	269.5	068.800003	+00.000000	20	
+00231.410004	+35.844727	+128.626480	+04.139835	+19.400000	269.5	069.099998	+00.000000	21	
+00232.639999	+35.844807	+128.626541	+04.132752	+19.370001	269.3	069.300003	+00.000000	22	
+00239.149994	+35.844852	+128.626648	+04.131257	+19.370001	268.8	069.500000	+00.000000	23	
+00245.850006	+35.844818	+128.626709	+04.146076	+19.340000	267.9	069.699997	+00.000000	24	
+00249.539993	+35.844749	+128.626709	+04.189951	+19.290001	267.3	070.000000	+00.000000	25	
+00256.510010	+35.844749	+128.626678	+04.213774	+19.309999	267.0	069.800003	+00.000000	26	
