Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00083.480003	+35.845127	+128.625717	+01.650000	+19.980000	159.2	067.699997	+00.000000	0	
+00049.869999	+35.845089	+128.625748	+02.189900	+19.490000	098.4	068.000000	+00.000000	1	
+00053.860001	+35.845055	+128.625717	+02.189900	+19.270000	098.4	067.900002	+00.000000	2	
+00057.110001	+35.845039	+128.625626	+02.189900	+19.219999	098.4	068.699997	+00.000000	3	
+00062.430000	+35.845058	+128.625610	+02.189900	+19.219999	098.4	069.599998	+00.000000	4	
+00067.540001	+35.845074	+128.625641	+02.186447	+19.059999	098.0	070.199997	+00.000000	5	
+00074.330002	+35.845074	+128.625641	+02.158169	+19.030001	097.3	071.099998	+00.000000	6	
+00077.879997	+35.845039	+128.625610	+02.130091	+19.160000	097.5	071.400002	+00.000000	7	
+00080.779999	+35.844990	+128.625519	+02.126762	+19.190001	098.1	071.500000	+00.000000	8	
+00085.169998	+35.844978	+128.625443	+02.131868	+19.160000	099.0	072.099998	+00.000000	9	
+00090.660004	+35.845013	+128.625412	+02.102804	+19.080000	099.9	072.500000	+00.000000	10	
+00097.230003	+35.845058	+128.625443	+02.075438	+18.700001	100.7	072.099998	+00.000000	11	
+00107.309998	+35.845058	+128.625473	+02.066889	+18.459999	101.4	072.699997	+00.000000	12	
+00115.029999	+35.845001	+128.625427	+02.058688	+18.410000	102.1	073.300003	+00.000000	13	
+00124.779999	+35.844948	+128.625320	+02.063329	+18.330000	103.4	073.800003	+00.000000	14	
+00133.339996	+35.844982	+128.625244	+02.037055	+18.190001	105.0	073.900002	+00.000000	15	
+00143.429993	+35.845016	+128.625229	+02.018297	+18.110001	107.1	074.800003	+00.000000	16	
+00150.050003	+35.845005	+128.625290	+02.024648	+18.190001	109.2	075.900002	+00.000000	17	
+00153.270004	+35.844990	+128.625351	+02.055259	+18.219999	112.2	076.300003	+00.000000	18	
+00159.740005	+35.845024	+128.625427	+02.056179	+18.330000	114.9	077.199997	+00.000000	19	
+00166.169998	+35.845081	+128.625397	+02.031085	+18.379999	116.7	077.300003	+00.000000	20	
+00172.759995	+35.845123	+128.625305	+02.038486	+18.190001	117.8	077.699997	+00.000000	21	
+00180.179993	+35.845116	+128.625229	+02.057012	+18.080000	119.0	078.000000	+00.000000	22	
+00186.820007	+35.845074	+128.625214	+02.054129	+17.980000	121.2	078.400002	+00.000000	23	
