Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00084.040001	+35.844440	+128.625916	+00.200000	+05.630000	239.5	033.900002	+00.000000	0	
+00167.899994	+35.844475	+128.625610	+00.301638	+05.400000	255.7	033.400002	+00.000000	2	
+00165.539993	+35.844498	+128.625519	+00.304455	+05.340000	256.4	033.599998	+00.000000	3	
+00165.240005	+35.844452	+128.625473	+00.306681	+05.290000	257.0	033.700001	+00.000000	4	
+00168.020004	+35.844429	+128.625534	+00.308485	+05.270000	257.5	034.400002	+00.000000	5	
+00168.100006	+35.844490	+128.625610	+00.325541	+05.200000	261.3	034.400002	+00.000000	6	
+00167.350006	+35.844566	+128.625580	+00.325541	+05.180000	261.3	034.799999	+00.000000	7	
+00166.660004	+35.844566	+128.625519	+00.326735	+05.110000	260.0	035.200001	+00.000000	8	
+00163.529999	+35.844540	+128.625580	+00.325034	+05.060000	259.1	035.500000	+00.000000	9	
+00163.570007	+35.844543	+128.625671	+00.323424	+05.020000	258.1	035.599998	+00.000000	10	
+00165.399994	+35.844582	+128.625702	+00.323765	+04.970000	258.3	036.000000	+00.000000	11	
+00168.259995	+35.844593	+128.625687	+00.327745	+04.930000	258.5	036.299999	+00.000000	12	
+00170.169998	+35.844593	+128.625687	+00.328172	+04.900000	258.0	036.500000	+00.000000	13	
+00173.869995	+35.844608	+128.625717	+00.328616	+04.810000	257.6	036.599998	+00.000000	14	
+00177.990005	+35.844635	+128.625717	+00.332658	+04.740000	258.9	036.599998	+00.000000	15	
+00182.369995	+35.844635	+128.625702	+00.348112	+04.720000	259.9	036.799999	+00.000000	16	
+00187.020004	+35.844608	+128.625702	+00.363665	+04.650000	260.8	037.000000	+00.000000	17	
+00190.669998	+35.844608	+128.625732	+00.379747	+04.590000	261.0	037.099998	+00.000000	18	
+00194.850006	+35.844624	+128.625748	+00.388736	+04.520000	262.8	037.200001	+00.000000	19	
+00199.449997	+35.844624	+128.625748	+00.400822	+04.470000	265.3	037.400002	+00.000000	20	
+00204.250000	+35.844608	+128.625748	+00.417135	+04.450000	267.8	037.599998	+00.000000	21	
+00208.740005	+35.844612	+128.625778	+00.430993	+04.410000	269.0	037.799999	+00.000000	22	
+00213.190002	+35.844624	+128.625763	+00.440176	+04.360000	270.7	037.900002	+00.000000	23	
+00217.779999	+35.844612	+128.625748	+00.457935	+04.290000	273.2	038.099998	+00.000000	24	
+00222.699997	+35.844601	+128.625778	+00.480120	+04.250000	275.3	038.200001	+00.000000	25	
+00227.910004	+35.844612	+128.625809	+00.493422	+04.200000	276.0	038.299999	+00.000000	26	
