Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00087.080002	+35.844700	+128.625793	+00.260000	+24.250000	262.2	042.400002	+00.000000	0	
+00088.809998	+35.844685	+128.625793	+02.117015	+23.559999	298.0	041.500000	+00.000000	1	
+00094.580002	+35.844662	+128.625793	+02.094725	+22.590000	297.4	042.400002	+00.000000	2	
+00098.230003	+35.844643	+128.625870	+02.101679	+22.299999	297.0	043.299999	+00.000000	3	
+00100.410004	+35.844677	+128.625931	+02.107298	+22.070000	296.8	044.400002	+00.000000	4	
+00105.360001	+35.844704	+128.625946	+02.067464	+22.040001	297.0	045.700001	+00.000000	5	
+00110.129997	+35.844658	+128.625977	+02.006961	+22.070000	298.1	046.599998	+00.000000	6	
+00113.720001	+35.844578	+128.626007	+01.912051	+21.959999	297.5	047.599998	+00.000000	7	
+00120.629997	+35.844555	+128.625977	+01.847373	+21.790001	295.5	048.299999	+00.000000	8	
+00124.620003	+35.844624	+128.625977	+01.821459	+21.730000	293.3	049.000000	+00.000000	9	
+00129.360001	+35.844646	+128.626068	+01.805716	+21.639999	291.4	049.700001	+00.000000	10	
+00134.190002	+35.844593	+128.626114	+01.797722	+21.590000	290.5	050.500000	+00.000000	11	
+00139.779999	+35.844555	+128.626038	+01.753688	+21.559999	290.1	051.200001	+00.000000	12	
+00145.100006	+35.844582	+128.625992	+01.699402	+21.500000	289.2	051.799999	+00.000000	13	
+00148.589996	+35.844646	+128.626007	+01.640886	+21.440001	287.4	052.599998	+00.000000	14	
+00154.320007	+35.844658	+128.626099	+01.601822	+21.420000	285.5	053.400002	+00.000000	15	
+00158.970001	+35.844612	+128.626129	+01.615405	+21.360001	283.3	054.099998	+00.000000	16	
+00164.869995	+35.844551	+128.626114	+01.605613	+21.299999	281.3	054.700001	+00.000000	17	
+00173.259995	+35.844482	+128.626114	+01.593156	+21.270000	279.7	055.099998	+00.000000	18	
+00176.690002	+35.844551	+128.626144	+01.556796	+21.219999	277.9	055.500000	+00.000000	19	
+00182.250000	+35.844582	+128.626221	+01.528524	+21.190001	276.4	056.200001	+00.000000	20	
+00187.649994	+35.844540	+128.626236	+01.443012	+21.160000	273.8	056.599998	+00.000000	21	
+00193.500000	+35.844490	+128.626175	+01.376919	+21.100000	269.5	057.099998	+00.000000	22	
+00197.570007	+35.844521	+128.626114	+01.354375	+21.020000	265.2	057.400002	+00.000000	23	
+00204.750000	+35.844578	+128.626114	+01.317957	+20.990000	261.5	057.900002	+00.000000	24	
+00209.360001	+35.844593	+128.626190	+01.268154	+21.100000	257.9	058.200001	+00.000000	25	
+00218.070007	+35.844555	+128.626266	+01.208214	+21.020000	253.6	058.400002	+00.000000	26	
+00225.020004	+35.844524	+128.626221	+01.153113	+21.100000	248.4	058.500000	+00.000000	27	
+00228.520004	+35.844559	+128.626129	+01.134798	+21.049999	243.1	058.500000	+00.000000	28	
+00234.259995	+35.844627	+128.626099	+01.106524	+20.940001	239.0	058.700001	+00.000000	29	
+00238.940002	+35.844681	+128.626160	+01.052070	+20.940001	234.2	058.900002	+00.000000	30	
+00244.309998	+35.844692	+128.626266	+01.037690	+20.820000	226.7	058.900002	+00.000000	31	
+00251.449997	+35.844650	+128.626282	+01.060190	+20.799999	224.0	059.000000	+00.000000	32	
+00257.109985	+35.844627	+128.626266	+01.041976	+20.709999	221.0	059.200001	+00.000000	33	
+00261.709991	+35.844650	+128.626205	+00.996486	+20.680000	216.5	059.400002	+00.000000	34	
+00269.239990	+35.844715	+128.626190	+00.993552	+20.570000	211.8	059.500000	+00.000000	35	
+00274.130005	+35.844749	+128.626282	+01.015949	+20.490000	207.9	059.500000	+00.000000	36	
+00281.940002	+35.844727	+128.626389	+01.029580	+20.410000	206.1	059.799999	+00.000000	37	
+00287.890015	+35.844692	+128.626373	+01.030291	+20.410000	203.9	060.000000	+00.000000	38	
+00292.190002	+35.844727	+128.626282	+01.016728	+20.350000	201.7	060.200001	+00.000000	39	
+00297.230011	+35.844818	+128.626266	+01.016669	+20.240000	197.8	060.299999	+00.000000	40	
+00300.609985	+35.844872	+128.626389	+01.027761	+20.160000	195.8	060.500000	+00.000000	41	
+00308.869995	+35.844845	+128.626419	+01.025717	+20.070000	194.3	060.700001	+00.000000	42	
+00310.450012	+35.844807	+128.626373	+01.023378	+20.020000	193.3	061.000000	+00.000000	43	
+00315.049988	+35.844810	+128.626251	+00.985548	+20.020000	194.2	061.400002	+00.000000	44	
+00320.299988	+35.844875	+128.626205	+00.976189	+19.959999	193.5	061.599998	+00.000000	45	
+00323.000000	+35.844940	+128.626266	+00.943226	+19.990000	193.2	061.799999	+00.000000	46	
+00327.589996	+35.844955	+128.626358	+00.895105	+19.910000	190.8	061.900002	+00.000000	47	
+00333.320007	+35.844910	+128.626373	+00.868569	+19.830000	185.8	062.099998	+00.000000	48	
+00339.799988	+35.844872	+128.626312	+00.839586	+19.799999	182.4	062.299999	+00.000000	49	
+00346.059998	+35.844906	+128.626251	+00.821160	+19.719999	180.1	062.400002	+00.000000	50	
+00347.250000	+35.844990	+128.626282	+00.780351	+19.719999	181.0	062.400002	+00.000000	51	
+00355.040009	+35.845024	+128.626373	+00.733543	+19.719999	180.6	062.500000	+00.000000	52	
+00359.380005	+35.844975	+128.626373	+00.672725	+19.629999	179.1	062.700001	+00.000000	53	
+00362.940002	+35.844929	+128.626266	+00.626206	+19.580000	172.8	063.000000	+00.000000	54	
+00367.160004	+35.844933	+128.626190	+00.633074	+19.549999	170.8	063.200001	+00.000000	55	
+00372.040009	+35.845013	+128.626205	+00.598618	+19.520000	173.3	063.400002	+00.000000	56	
+00374.359985	+35.845039	+128.626297	+00.546586	+19.420000	176.3	063.599998	+00.000000	57	
+00379.630005	+35.845001	+128.626373	+00.475801	+19.360001	179.7	064.000000	+00.000000	58	
+00384.269989	+35.844944	+128.626343	+00.411679	+19.309999	185.1	064.199997	+00.000000	59	
+00388.679993	+35.844929	+128.626266	+00.399870	+19.280001	188.9	064.500000	+00.000000	60	
+00394.450012	+35.844967	+128.626190	+00.387404	+19.200001	192.3	064.599998	+00.000000	61	
+00398.940002	+35.845032	+128.626221	+00.377929	+19.250000	194.3	064.900002	+00.000000	62	
+00402.230011	+35.845039	+128.626312	+00.350570	+19.170000	200.7	065.199997	+00.000000	63	
+00406.010010	+35.844990	+128.626358	+00.318269	+19.139999	209.0	065.500000	+00.000000	64	
+00411.025024	+35.844967	+128.626312	+00.315037	+19.099998	218.9	065.550003	+00.000000	65	
+00416.040009	+35.844944	+128.626251	+00.293837	+19.059999	227.8	065.599998	+00.000000	66	
+00418.029999	+35.844982	+128.626205	+00.273925	+19.010000	234.6	065.599998	+00.000000	67	
+00423.049988	+35.845047	+128.626205	+00.265170	+18.980000	238.4	065.900002	+00.000000	68	
+00428.079987	+35.845039	+128.626251	+00.277413	+18.980000	238.7	065.800003	+00.000000	69	
+00429.910004	+35.844978	+128.626297	+00.284139	+18.900000	244.1	065.900002	+00.000000	70	
+00436.750000	+35.844906	+128.626282	+00.292690	+18.850000	255.2	066.099998	+00.000000	71	
+00441.299988	+35.844906	+128.626236	+00.303072	+18.820000	267.1	066.000000	+00.000000	72	
+00443.010010	+35.844982	+128.626175	+00.324266	+18.790001	275.8	066.099998	+00.000000	73	
+00445.399994	+35.845039	+128.626190	+00.367772	+18.760000	278.6	065.800003	+00.000000	74	
+00450.039978	+35.845024	+128.626190	+00.426132	+18.750000	281.1	065.949997	+00.000000	75	
+00454.679993	+35.845013	+128.626175	+00.462280	+18.740000	285.0	066.099998	+00.000000	76	
+00457.609985	+35.844975	+128.626129	+00.482136	+18.680000	286.0	066.099998	+00.000000	77	
+00461.799988	+35.844944	+128.626129	+00.501171	+18.660000	287.3	066.300003	+00.000000	78	
+00466.369995	+35.844944	+128.626205	+00.539390	+18.629999	287.2	066.500000	+00.000000	79	
+00471.619995	+35.844982	+128.626251	+00.588229	+18.549999	287.6	066.800003	+00.000000	80	
+00477.350006	+35.845024	+128.626221	+00.638584	+18.520000	285.1	066.800003	+00.000000	81	
+00482.600006	+35.844990	+128.626175	+00.687684	+18.469999	286.2	067.099998	+00.000000	82	
+00483.579987	+35.844929	+128.626251	+00.709923	+18.410000	285.0	067.300003	+00.000000	83	
+00485.570007	+35.844910	+128.626358	+00.749102	+18.360001	284.8	068.000000	+00.000000	84	
+00487.510010	+35.844944	+128.626434	+00.763728	+18.330000	284.6	068.199997	+00.000000	85	
+00492.589996	+35.844944	+128.626450	+00.771373	+18.330000	284.8	068.099998	+00.000000	86	
+00499.299988	+35.844913	+128.626465	+00.812907	+18.309999	284.1	068.400002	+00.000000	87	
+00506.260010	+35.844921	+128.626511	+00.865126	+18.280001	284.6	068.199997	+00.000000	88	
+00508.890015	+35.844982	+128.626511	+00.910581	+18.230000	284.3	068.000000	+00.000000	89	
+00511.019989	+35.845032	+128.626434	+00.936465	+18.139999	284.6	068.099998	+00.000000	90	
+00515.349976	+35.845016	+128.626389	+00.960907	+18.139999	284.4	068.000000	+00.000000	91	
+00522.780029	+35.844997	+128.626389	+00.992978	+18.139999	285.4	068.099998	+00.000000	92	
+00526.719971	+35.844997	+128.626465	+01.039564	+18.090000	284.9	067.800003	+00.000000	93	
+00531.150024	+35.844978	+128.626541	+01.123801	+18.010000	284.5	068.099998	+00.000000	94	
