Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00067.260002	+35.844978	+128.625748	+02.150000	+25.309999	030.3	064.599998	+00.000000	0	
+00111.930000	+35.844948	+128.625809	+02.551314	+25.129999	305.2	065.199997	+00.000000	1	
+00117.070000	+35.844955	+128.625839	+02.540346	+24.700001	305.0	065.500000	+00.000000	2	
+00120.279999	+35.844978	+128.625870	+02.531842	+24.490000	304.8	065.500000	+00.000000	3	
+00124.930000	+35.844982	+128.625885	+02.524219	+24.309999	304.6	065.800003	+00.000000	4	
+00130.100006	+35.844955	+128.625916	+02.515829	+24.309999	304.2	066.099998	+00.000000	5	
+00134.589996	+35.844913	+128.625961	+02.497930	+24.250000	303.9	066.400002	+00.000000	6	
+00138.929993	+35.844894	+128.625977	+02.479393	+24.209999	303.5	066.699997	+00.000000	7	
+00143.449997	+35.844887	+128.625977	+02.459746	+24.209999	302.7	066.900002	+00.000000	8	
+00147.059998	+35.844887	+128.625977	+02.442255	+24.250000	301.6	067.199997	+00.000000	9	
+00150.500000	+35.844898	+128.626007	+02.425638	+24.209999	300.5	067.500000	+00.000000	10	
+00153.839996	+35.844906	+128.626007	+02.413574	+24.209999	299.2	067.800003	+00.000000	11	
+00158.089996	+35.844906	+128.626007	+02.406450	+24.180000	297.9	068.099998	+00.000000	12	
+00162.720001	+35.844887	+128.626007	+02.401353	+24.150000	296.6	068.199997	+00.000000	13	
+00167.369995	+35.844864	+128.626007	+02.397406	+24.059999	295.4	068.500000	+00.000000	14	
+00171.330002	+35.844837	+128.626007	+02.395063	+24.030001	294.2	068.500000	+00.000000	15	
+00175.649994	+35.844803	+128.626038	+02.393803	+23.910000	293.1	068.800003	+00.000000	16	
+00180.889999	+35.844780	+128.626083	+02.390983	+23.820000	291.9	069.000000	+00.000000	17	
+00186.830002	+35.844769	+128.626129	+02.381122	+23.770000	290.5	069.300003	+00.000000	18	
+00189.759995	+35.844753	+128.626175	+02.366126	+23.740000	289.2	069.500000	+00.000000	19	
+00194.770004	+35.844753	+128.626221	+02.350797	+23.709999	288.2	069.699997	+00.000000	20	
+00200.490005	+35.844749	+128.626236	+02.339150	+23.590000	287.2	070.000000	+00.000000	21	
+00205.289993	+35.844746	+128.626251	+02.323465	+23.469999	286.4	070.199997	+00.000000	22	
+00211.679993	+35.844734	+128.626251	+02.299246	+23.320000	285.5	070.500000	+00.000000	23	
+00215.250000	+35.844711	+128.626266	+02.271328	+23.290001	284.2	070.699997	+00.000000	24	
