Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00081.760002	+35.844669	+128.625717	+00.910000	+08.920000	019.2	050.799999	+00.000000	0	
+00098.000000	+35.844662	+128.625717	+02.334408	+08.710000	275.1	050.599998	+00.000000	1	
+00102.480003	+35.844646	+128.625702	+02.333956	+08.620000	274.3	050.599998	+00.000000	2	
+00107.110001	+35.844627	+128.625732	+02.340761	+08.590000	273.6	050.700001	+00.000000	3	
+00111.779999	+35.844616	+128.625778	+02.356449	+08.590000	272.8	051.000000	+00.000000	4	
+00115.750000	+35.844612	+128.625839	+02.381747	+08.550000	272.0	051.200001	+00.000000	5	
+00120.599998	+35.844616	+128.625870	+02.445117	+08.590000	270.3	051.400002	+00.000000	6	
+00124.629997	+35.844627	+128.625854	+02.484239	+08.620000	268.9	051.500000	+00.000000	7	
+00128.100006	+35.844627	+128.625839	+02.515080	+08.590000	267.3	051.799999	+00.000000	8	
+00132.355011	+35.844631	+128.625824	+02.545145	+08.580000	265.9	052.150002	+00.000000	9	
+00136.610001	+35.844635	+128.625824	+02.575216	+08.570000	264.6	052.500000	+00.000000	10	
+00141.459991	+35.844643	+128.625870	+02.607917	+08.500000	263.5	052.500000	+00.000000	11	
+00146.309998	+35.844646	+128.625916	+02.642430	+08.430000	262.6	052.500000	+00.000000	12	
+00151.360001	+35.844646	+128.625977	+02.676013	+08.380000	261.9	052.599998	+00.000000	13	
+00155.210007	+35.844620	+128.625992	+02.709160	+08.350000	261.5	052.833332	+00.000000	14	
+00159.059998	+35.844593	+128.626007	+02.741295	+08.320000	261.3	053.066666	+00.000000	15	
+00162.910004	+35.844566	+128.626007	+02.777329	+08.290000	261.1	053.299999	+00.000000	16	
+00167.690002	+35.844551	+128.626038	+02.803243	+08.255000	261.0	053.500000	+00.000000	17	
+00172.470001	+35.844540	+128.626068	+02.833443	+08.220000	261.0	053.700001	+00.000000	18	
+00177.100006	+35.844559	+128.626114	+02.882510	+08.170000	261.0	053.950001	+00.000000	19	
+00181.729996	+35.844582	+128.626160	+02.947247	+08.120000	260.9	054.200001	+00.000000	20	
+00185.956665	+35.844593	+128.626205	+03.027297	+08.090000	260.6	054.400002	+00.000000	21	
+00190.183334	+35.844604	+128.626251	+03.116971	+08.059999	260.2	054.599998	+00.000000	22	
+00194.410004	+35.844612	+128.626312	+03.211222	+08.030000	259.8	054.799999	+00.000000	23	
+00199.130005	+35.844612	+128.626358	+03.314238	+08.010000	259.2	055.000000	+00.000000	24	
+00204.039993	+35.844616	+128.626389	+03.427513	+07.960000	258.7	055.299999	+00.000000	25	
+00208.979996	+35.844635	+128.626404	+03.545080	+07.890000	258.1	055.500000	+00.000000	26	
+00213.970001	+35.844646	+128.626404	+03.662768	+07.840000	257.6	055.500000	+00.000000	27	
+00218.350006	+35.844650	+128.626450	+03.794792	+07.808000	257.2	055.799999	+00.000000	28	
+00222.730011	+35.844654	+128.626495	+03.928551	+07.776000	257.0	056.099998	+00.000000	29	
+00227.110001	+35.844658	+128.626541	+04.051166	+07.744000	256.8	056.399998	+00.000000	30	
+00231.489990	+35.844658	+128.626587	+04.167609	+07.712000	256.8	056.699997	+00.000000	31	
+00235.869995	+35.844662	+128.626648	+04.291353	+07.680000	256.8	057.000000	+00.000000	32	
+00240.449997	+35.844692	+128.626709	+04.435669	+07.660000	256.9	057.200001	+00.000000	33	
+00245.279999	+35.844727	+128.626755	+04.586116	+07.630000	257.0	057.799999	+00.000000	34	
+00250.820007	+35.844749	+128.626755	+04.735112	+07.610000	257.3	058.500000	+00.000000	35	
+00256.575012	+35.844749	+128.626770	+04.877304	+07.565000	257.6	058.700001	+00.000000	36	
+00262.329987	+35.844753	+128.626785	+05.010924	+07.520000	257.8	058.900002	+00.000000	37	
+00268.220001	+35.844738	+128.626816	+05.123099	+07.420000	257.9	059.000000	+00.000000	38	
+00274.019989	+35.844719	+128.626877	+05.221334	+07.380000	257.9	059.200001	+00.000000	39	
+00279.579987	+35.844715	+128.626953	+05.313268	+07.330000	257.8	059.000000	+00.000000	40	
+00285.250000	+35.844734	+128.627029	+05.407070	+07.260000	257.9	059.599998	+00.000000	41	
+00290.640015	+35.844769	+128.627090	+05.501521	+07.260000	258.1	060.200001	+00.000000	42	
+00295.746490	+35.844769	+128.627151	+05.584545	+07.216471	258.3	060.341179	+00.000000	43	
+00300.852966	+35.844769	+128.627213	+05.647315	+07.172941	258.6	060.482353	+00.000000	44	
+00305.959442	+35.844769	+128.627274	+05.703535	+07.129412	258.7	060.623531	+00.000000	45	
+00311.065918	+35.844772	+128.627335	+05.748212	+07.085882	258.8	060.764709	+00.000000	46	
+00316.172394	+35.844772	+128.627396	+05.781619	+07.042353	258.9	060.905884	+00.000000	47	
+00321.278870	+35.844776	+128.627457	+05.809546	+06.998823	259.0	061.047062	+00.000000	48	
+00326.385345	+35.844776	+128.627518	+05.847303	+06.955294	259.4	061.188236	+00.000000	49	
+00331.491821	+35.844780	+128.627579	+05.886994	+06.911764	260.0	061.329414	+00.000000	50	
+00336.598297	+35.844780	+128.627640	+05.922863	+06.868235	260.5	061.470589	+00.000000	51	
