Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00640.599976	+48.776585	+2.023057	+12.670000	+09.290000	256.2	080.000000	+00.000000	0	
+00646.909973	+48.776585	+2.023229	+12.416886	+09.270000	257.5	080.099998	+00.000000	1	
+00653.650024	+48.776527	+2.023401	+12.388399	+09.170000	257.5	081.099998	+00.000000	2	
+00658.570007	+48.776527	+2.023515	+12.355974	+09.100000	257.5	081.400002	+00.000000	3	
+00660.849976	+48.776527	+2.023630	+12.324507	+09.100000	257.4	081.599998	+00.000000	4	
+00664.289978	+48.776585	+2.023687	+12.294590	+09.080000	257.2	081.500000	+00.000000	5	
+00667.590027	+48.776642	+2.023802	+12.240325	+09.030000	257.2	081.800003	+00.000000	6	
+00669.760010	+48.776699	+2.023973	+12.177462	+09.100000	257.2	081.199997	+00.000000	7	
+00673.849976	+48.776756	+2.024145	+12.109821	+09.080000	257.1	081.500000	+00.000000	8	
+00677.210022	+48.776756	+2.024374	+12.049907	+09.020000	257.1	081.900002	+00.000000	9	
+00680.580017	+48.776756	+2.024604	+11.996442	+08.960000	257.1	082.199997	+00.000000	10	
+00684.510010	+48.776756	+2.024718	+11.962224	+08.920000	257.2	082.500000	+00.000000	11	
+00688.450012	+48.776756	+2.024890	+11.947255	+08.870000	257.3	082.800003	+00.000000	12	
+00692.380005	+48.776814	+2.025005	+11.934193	+08.830000	257.3	083.099998	+00.000000	13	
+00696.309998	+48.776814	+2.025119	+11.927378	+08.780000	257.4	083.300003	+00.000000	14	
+00700.239990	+48.776814	+2.025291	+11.924089	+08.740000	257.5	083.599998	+00.000000	15	
+00704.179993	+48.776871	+2.025406	+11.925113	+08.700000	257.7	083.900002	+00.000000	16	
+00708.109985	+48.776871	+2.025578	+11.933326	+08.650000	257.9	084.199997	+00.000000	17	
+00712.909973	+48.776928	+2.025750	+11.952452	+08.610000	258.1	084.699997	+00.000000	18	
+00716.539978	+48.776985	+2.025979	+11.979150	+08.510000	258.2	085.599998	+00.000000	19	
+00720.409973	+48.776985	+2.026151	+12.003015	+08.470000	258.3	085.500000	+00.000000	20	
+00723.719971	+48.776985	+2.026380	+12.005322	+08.490000	258.3	085.199997	+00.000000	21	
+00726.679993	+48.776985	+2.026495	+11.994001	+08.490000	258.2	085.400002	+00.000000	22	
+00731.580017	+48.776985	+2.026609	+11.977730	+08.440000	258.2	085.500000	+00.000000	23	
+00735.830017	+48.777046	+2.026724	+11.969828	+08.370000	258.1	085.800003	+00.000000	24	
+00739.289978	+48.777046	+2.026896	+11.989263	+08.300000	258.0	086.199997	+00.000000	25	
+00744.640015	+48.777100	+2.027067	+12.025868	+08.230000	257.9	086.500000	+00.000000	26	
+00750.119995	+48.777100	+2.027239	+12.070889	+08.140000	258.0	086.699997	+00.000000	27	
+00753.539978	+48.777100	+2.027411	+12.108986	+08.110000	258.1	086.800003	+00.000000	28	
+00756.840027	+48.777100	+2.027526	+12.136210	+08.110000	258.2	086.800003	+00.000000	29	
+00761.460022	+48.777100	+2.027640	+12.155253	+08.040000	258.3	087.000000	+00.000000	30	
+00766.070007	+48.777157	+2.027755	+12.181118	+07.970000	258.3	087.300003	+00.000000	31	
+00770.729980	+48.777157	+2.027869	+12.226875	+07.950000	258.3	087.500000	+00.000000	32	
+00775.010010	+48.777214	+2.027984	+12.273286	+07.900000	258.3	087.800003	+00.000000	33	
+00778.739990	+48.777275	+2.028099	+12.322175	+07.860000	258.3	087.900002	+00.000000	34	
+00783.070007	+48.777328	+2.028270	+12.361633	+07.860000	258.4	088.000000	+00.000000	35	
+00787.690002	+48.777328	+2.028385	+12.375140	+07.810000	258.6	088.300003	+00.000000	36	
+00791.469971	+48.777328	+2.028500	+12.369578	+07.790000	258.8	088.400002	+00.000000	37	
+00795.030029	+48.777275	+2.028672	+12.341547	+07.740000	258.9	088.699997	+00.000000	38	
+00798.030029	+48.777214	+2.028901	+12.311671	+07.720000	259.0	088.900002	+00.000000	39	
+00801.359985	+48.777214	+2.029130	+12.272899	+07.670000	259.0	088.900002	+00.000000	40	
+00806.109985	+48.777275	+2.029302	+12.244354	+07.720000	259.0	088.199997	+00.000000	41	
+00811.590027	+48.777328	+2.029474	+12.214952	+07.650000	259.1	088.800003	+00.000000	42	
+00814.510010	+48.777386	+2.029588	+12.184072	+07.650000	259.3	088.900002	+00.000000	43	
+00819.929993	+48.777386	+2.029760	+12.157948	+07.580000	259.5	089.300003	+00.000000	44	
+00826.140015	+48.777443	+2.029932	+12.127145	+07.480000	259.7	089.800003	+00.000000	45	
+00828.890015	+48.777443	+2.030104	+12.096154	+07.440000	260.0	089.800003	+00.000000	46	
+00832.710022	+48.777443	+2.030276	+12.064750	+07.390000	260.1	089.699997	+00.000000	47	
+00837.640015	+48.777443	+2.030448	+12.039742	+07.350000	260.2	089.599998	+00.000000	48	
+00841.609985	+48.777443	+2.030562	+12.037723	+07.300000	260.2	089.699997	+00.000000	49	
+00844.570007	+48.777443	+2.030677	+12.049573	+07.320000	260.1	089.400002	+00.000000	50	
+00848.289978	+48.777504	+2.030849	+12.096103	+07.300000	260.1	089.000000	+00.000000	51	
+00850.950012	+48.777561	+2.030964	+12.168558	+07.320000	260.2	088.800003	+00.000000	52	
+00854.239990	+48.777615	+2.031193	+12.243196	+07.280000	260.3	089.300003	+00.000000	53	
+00858.530029	+48.777672	+2.031422	+12.326573	+07.230000	260.4	089.400002	+00.000000	54	
+00861.859985	+48.777672	+2.031651	+12.416833	+07.230000	260.6	089.400002	+00.000000	55	
+00867.559998	+48.777672	+2.031880	+12.502516	+07.210000	260.8	089.300003	+00.000000	56	
+00873.229980	+48.777615	+2.031995	+12.588405	+07.210000	261.0	089.000000	+00.000000	57	
+00876.039978	+48.777615	+2.032167	+12.665569	+07.320000	261.1	086.699997	+00.000000	58	
+00879.169983	+48.777615	+2.032339	+12.729027	+07.420000	261.2	086.000000	+00.000000	59	
+00883.539978	+48.777615	+2.032511	+12.763494	+07.320000	261.3	086.599998	+00.000000	60	
+00887.340027	+48.777672	+2.032740	+12.785826	+07.250000	261.3	086.699997	+00.000000	61	
+00891.270020	+48.777733	+2.032912	+12.789151	+07.300000	261.5	085.699997	+00.000000	62	
+00895.820007	+48.777790	+2.033141	+12.759483	+07.070000	261.6	088.500000	+00.000000	63	
+00900.690002	+48.777843	+2.033313	+12.714971	+06.910000	261.6	089.599998	+00.000000	64	
+00906.580017	+48.777843	+2.033484	+12.654531	+06.880000	261.5	089.500000	+00.000000	65	
+00913.510010	+48.777901	+2.033599	+12.591601	+06.810000	261.2	089.699997	+00.000000	66	
+00920.460022	+48.777901	+2.033714	+12.533448	+07.070000	260.9	085.900002	+00.000000	67	
+00926.000000	+48.777901	+2.033828	+12.474112	+07.160000	260.6	084.699997	+00.000000	68	
+00931.460022	+48.777901	+2.034000	+12.415784	+07.140000	260.5	084.500000	+00.000000	69	
+00936.590027	+48.777843	+2.034172	+12.349833	+07.110000	260.4	084.400002	+00.000000	70	
+00941.729980	+48.777843	+2.034344	+12.302839	+07.040000	260.3	084.400002	+00.000000	71	
+00947.539978	+48.777901	+2.034516	+12.264884	+07.020000	260.2	085.000000	+00.000000	72	
+00953.080017	+48.777962	+2.034688	+12.235171	+06.930000	260.0	085.300003	+00.000000	73	
+00958.510010	+48.778019	+2.034860	+12.210433	+06.910000	259.7	085.400002	+00.000000	74	
+00963.369995	+48.778076	+2.035089	+12.189089	+06.860000	259.4	085.500000	+00.000000	75	
+00967.960022	+48.778076	+2.035318	+12.159313	+06.810000	259.1	085.500000	+00.000000	76	
+00972.080017	+48.778076	+2.035547	+12.107732	+06.770000	259.0	085.099998	+00.000000	77	
+00976.239990	+48.778019	+2.035776	+12.050702	+06.740000	258.9	085.500000	+00.000000	78	
+00980.500000	+48.778019	+2.035948	+11.981720	+06.670000	258.8	086.000000	+00.000000	79	
+00984.590027	+48.777962	+2.036120	+11.915524	+06.650000	258.7	086.300003	+00.000000	80	
+00988.609985	+48.777962	+2.036235	+11.867867	+06.600000	258.6	086.300003	+00.000000	81	
+00992.659973	+48.777962	+2.036349	+11.822344	+06.580000	258.6	086.400002	+00.000000	82	
+00995.799988	+48.778019	+2.036464	+11.780552	+06.510000	258.5	086.900002	+00.000000	83	
+00999.130005	+48.778076	+2.036578	+11.738282	+06.490000	258.6	087.199997	+00.000000	84	
+01002.460022	+48.778076	+2.036751	+11.700056	+06.470000	258.7	087.099998	+00.000000	85	
+01005.960022	+48.778130	+2.036865	+11.678445	+06.420000	258.7	087.000000	+00.000000	86	
+01009.599976	+48.778187	+2.037037	+11.676605	+06.400000	258.7	087.099998	+00.000000	87	
+01013.090027	+48.778187	+2.037152	+11.694519	+06.370000	258.6	087.300003	+00.000000	88	
+01016.409973	+48.778187	+2.037323	+11.723849	+06.330000	258.5	087.300003	+00.000000	89	
+01020.010010	+48.778248	+2.037438	+11.772707	+06.300000	258.3	087.199997	+00.000000	90	
