Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00083.680000	+35.844685	+128.625717	+02.780000	+08.660000	191.0	015.600000	+00.000000	0	
+00093.220001	+35.844715	+128.625717	+03.742738	+07.930000	194.7	015.700000	+00.000000	1	
+00098.699997	+35.844761	+128.625717	+03.726128	+07.390000	194.7	015.800000	+00.000000	2	
+00105.800003	+35.844807	+128.625732	+03.713214	+07.090000	194.6	016.100000	+00.000000	3	
+00112.059998	+35.844830	+128.625809	+03.686411	+06.840000	194.8	016.700001	+00.000000	4	
+00118.779999	+35.844830	+128.625870	+03.642361	+06.810000	195.0	017.200001	+00.000000	5	
+00125.650002	+35.844818	+128.625854	+03.615001	+06.440000	195.2	017.700001	+00.000000	6	
+00131.460007	+35.844845	+128.625793	+03.536991	+06.370000	195.6	018.500000	+00.000000	7	
+00136.410004	+35.844921	+128.625763	+03.444064	+06.540000	195.8	018.900000	+00.000000	8	
+00141.009995	+35.845005	+128.625793	+03.352219	+06.030000	196.2	019.500000	+00.000000	9	
+00146.940002	+35.845074	+128.625870	+03.273374	+05.820000	196.8	020.000000	+00.000000	10	
+00152.970001	+35.845093	+128.625931	+03.201346	+05.730000	197.9	020.700001	+00.000000	11	
+00159.550003	+35.845074	+128.625992	+03.137263	+05.690000	199.4	021.400000	+00.000000	12	
+00166.820007	+35.845066	+128.625977	+03.076476	+05.620000	200.8	021.700001	+00.000000	13	
+00172.389999	+35.845074	+128.625931	+03.012306	+05.570000	202.5	022.000000	+00.000000	14	
+00177.279999	+35.845127	+128.625854	+02.946368	+05.480000	204.1	022.500000	+00.000000	15	
+00184.389999	+35.845207	+128.625824	+02.881800	+05.440000	205.4	022.900000	+00.000000	16	
+00192.059998	+35.845268	+128.625870	+02.827463	+05.460000	206.6	023.299999	+00.000000	17	
+00197.539993	+35.845318	+128.625931	+02.796710	+05.460000	207.7	023.400000	+00.000000	18	
+00203.699997	+35.845333	+128.625977	+02.776839	+05.440000	209.6	023.600000	+00.000000	19	
+00208.529999	+35.845352	+128.625931	+02.749517	+05.320000	211.7	023.600000	+00.000000	20	
+00216.229996	+35.845375	+128.625885	+02.705698	+05.300000	213.8	023.799999	+00.000000	21	
+00223.410004	+35.845402	+128.625885	+02.655054	+05.320000	215.4	024.000000	+00.000000	22	
+00229.190002	+35.845421	+128.625931	+02.606510	+05.300000	216.7	024.100000	+00.000000	23	
+00236.429993	+35.845409	+128.625977	+02.571862	+05.210000	218.3	024.200001	+00.000000	24	
+00242.190002	+35.845379	+128.625977	+02.554177	+05.070000	220.8	024.200001	+00.000000	25	
+00249.869995	+35.845375	+128.625977	+02.543978	+05.000000	223.6	024.299999	+00.000000	26	
+00257.390015	+35.845387	+128.625977	+02.561962	+04.960000	226.4	024.299999	+00.000000	27	
+00264.480011	+35.845398	+128.626007	+02.562716	+04.930000	229.6	024.400000	+00.000000	28	
+00271.260010	+35.845398	+128.626068	+02.549382	+04.980000	233.0	024.500000	+00.000000	29	
+00277.980011	+35.845398	+128.626129	+02.522877	+04.980000	235.9	024.600000	+00.000000	30	
+00284.880005	+35.845413	+128.626144	+02.519287	+04.910000	238.6	024.500000	+00.000000	31	
+00291.809998	+35.845448	+128.626175	+02.543168	+04.840000	241.4	024.500000	+00.000000	32	
+00298.910004	+35.845463	+128.626236	+02.590178	+04.820000	244.2	024.600000	+00.000000	33	
+00305.709991	+35.845448	+128.626266	+02.640485	+04.710000	246.9	024.600000	+00.000000	34	
+00312.750000	+35.845428	+128.626266	+02.699044	+04.550000	249.3	024.700001	+00.000000	35	
+00319.739990	+35.845421	+128.626251	+02.731027	+04.480000	251.0	024.799999	+00.000000	36	
+00326.339996	+35.845455	+128.626282	+02.761294	+04.440000	252.0	024.799999	+00.000000	37	
+00330.540009	+35.845497	+128.626358	+02.789889	+04.410000	252.9	024.900000	+00.000000	38	
+00336.549988	+35.845516	+128.626404	+02.841529	+04.350000	253.2	025.100000	+00.000000	39	
+00343.179993	+35.845531	+128.626434	+02.896633	+04.280000	253.4	025.200001	+00.000000	40	
+00350.880005	+35.845554	+128.626465	+02.945801	+04.280000	253.8	025.299999	+00.000000	41	
+00358.309998	+35.845562	+128.626511	+02.983301	+04.280000	254.5	025.400000	+00.000000	42	
+00365.279999	+35.845558	+128.626572	+03.025432	+04.190000	255.0	025.500000	+00.000000	43	
+00372.029999	+35.845531	+128.626602	+03.070539	+04.050000	255.4	025.500000	+00.000000	44	
+00380.320007	+35.845531	+128.626617	+03.134190	+03.960000	255.8	025.600000	+00.000000	45	
+00387.880005	+35.845558	+128.626633	+03.157338	+03.870000	256.7	025.600000	+00.000000	46	
+00395.619995	+35.845570	+128.626648	+03.128156	+03.800000	257.9	025.700001	+00.000000	47	
+00403.279999	+35.845566	+128.626678	+03.101483	+03.780000	259.3	025.799999	+00.000000	48	
+00410.940002	+35.845558	+128.626694	+03.083484	+03.760000	260.8	025.900000	+00.000000	49	
+00420.350006	+35.845573	+128.626724	+03.092027	+03.640000	262.4	026.000000	+00.000000	50	
+00429.600006	+35.845596	+128.626770	+03.111351	+03.620000	264.2	026.100000	+00.000000	51	
+00438.350006	+35.845604	+128.626816	+03.112416	+03.550000	265.2	026.200001	+00.000000	52	
+00443.429993	+35.845589	+128.626877	+03.100412	+03.580000	265.8	026.299999	+00.000000	53	
+00449.579987	+35.845573	+128.626892	+03.078825	+03.510000	266.6	026.299999	+00.000000	54	
+00457.019989	+35.845592	+128.626892	+03.058124	+03.100000	267.9	026.299999	+00.000000	55	
+00464.760010	+35.845623	+128.626907	+03.024108	+03.010000	269.8	026.500000	+00.000000	56	
+00473.390015	+35.845623	+128.626953	+03.002868	+02.990000	271.3	026.799999	+00.000000	57	
+00481.600006	+35.845592	+128.627045	+03.019658	+02.990000	272.3	027.000000	+00.000000	58	
+00490.470001	+35.845562	+128.627106	+03.023815	+02.740000	273.2	027.200001	+00.000000	59	
+00498.779999	+35.845581	+128.627167	+03.027412	+02.630000	273.7	027.299999	+00.000000	60	
+00507.919983	+35.845592	+128.627197	+03.024327	+02.575000	274.3	027.500000	+00.000000	61	
+00517.059998	+35.845604	+128.627243	+03.020080	+02.520000	275.2	027.700001	+00.000000	62	
+00524.479980	+35.845581	+128.627213	+03.030627	+02.490000	276.6	028.000000	+00.000000	63	
+00533.619995	+35.845547	+128.627197	+03.039132	+02.470000	278.0	028.200001	+00.000000	64	
+00543.460022	+35.845554	+128.627243	+03.028381	+02.380000	279.3	028.400000	+00.000000	65	
+00552.070007	+35.845562	+128.627304	+02.981390	+02.290000	280.3	028.500000	+00.000000	66	
+00562.169983	+35.845570	+128.627396	+02.902929	+02.270000	281.2	028.700001	+00.000000	67	
+00571.849976	+35.845573	+128.627411	+02.831806	+02.200000	281.7	028.799999	+00.000000	68	
+00580.719971	+35.845581	+128.627426	+02.782452	+02.200000	282.1	028.900000	+00.000000	69	
+00589.270020	+35.845570	+128.627441	+02.753119	+02.160000	282.3	029.000000	+00.000000	70	
+00596.929993	+35.845531	+128.627457	+02.720680	+02.110000	282.9	029.100000	+00.000000	71	
+00606.380005	+35.845497	+128.627487	+02.685676	+01.910000	283.2	029.299999	+00.000000	72	
+00616.840027	+35.845490	+128.627487	+02.631026	+01.770000	283.6	029.299999	+00.000000	73	
+00625.309998	+35.845505	+128.627487	+02.556929	+01.730000	283.9	029.299999	+00.000000	74	
+00634.299988	+35.845539	+128.627548	+02.486733	+01.620000	283.6	029.500000	+00.000000	75	
+00641.849976	+35.845547	+128.627609	+02.463913	+01.600000	283.2	029.799999	+00.000000	76	
