Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00083.269997	+35.840576	+128.622803	+02.770000	+21.920000	047.6	032.400002	+00.000000	0	
+00472.070007	+35.840549	+128.622757	+05.096099	+22.000000	043.2	032.599998	+00.000000	1	
+00475.630005	+35.840519	+128.622742	+05.139874	+21.920000	042.9	032.599998	+00.000000	2	
+00478.950012	+35.840504	+128.622696	+05.170106	+21.889999	042.7	032.799999	+00.000000	3	
+00482.839996	+35.840477	+128.622650	+05.194542	+21.860001	042.4	032.900002	+00.000000	4	
+00486.720001	+35.840446	+128.622604	+05.211757	+21.860001	042.3	032.900002	+00.000000	5	
+00490.880005	+35.840431	+128.622589	+05.451772	+21.860001	041.9	033.200001	+00.000000	6	
+00495.470001	+35.840397	+128.622528	+05.442257	+21.740000	041.7	033.099998	+00.000000	7	
+00500.260010	+35.840366	+128.622498	+05.430936	+21.709999	041.5	033.200001	+00.000000	8	
+00504.660004	+35.840324	+128.622452	+05.415731	+21.510000	041.3	033.599998	+00.000000	9	
+00507.799988	+35.840263	+128.622375	+05.395869	+21.540001	041.0	033.700001	+00.000000	10	
+00510.779999	+35.840206	+128.622345	+05.378166	+21.570000	040.9	033.799999	+00.000000	11	
+00514.890015	+35.840153	+128.622299	+05.365407	+21.629999	040.9	034.099998	+00.000000	12	
+00518.599976	+35.840096	+128.622238	+05.354696	+21.459999	040.9	034.400002	+00.000000	13	
+00521.799988	+35.840046	+128.622223	+05.347646	+21.370001	041.0	034.500000	+00.000000	14	
+00525.039978	+35.840000	+128.622177	+05.343767	+21.340000	041.2	034.500000	+00.000000	15	
+00528.530029	+35.839958	+128.622116	+05.346974	+21.320000	041.3	034.400002	+00.000000	16	
+00531.659973	+35.839916	+128.622070	+05.351124	+21.340000	041.4	034.599998	+00.000000	17	
+00535.140015	+35.839867	+128.621994	+05.361188	+21.260000	041.6	034.700001	+00.000000	18	
