Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00087.180000	+35.845116	+128.625687	+07.620000	+18.580000	160.5	061.200001	+00.000000	0	
+00171.009995	+35.845135	+128.625671	+01.049670	+18.600000	083.4	061.799999	+00.000000	1	
+00175.490005	+35.845100	+128.625687	+01.007049	+18.549999	081.4	062.599998	+00.000000	2	
+00181.779999	+35.845039	+128.625702	+01.003005	+18.469999	079.7	062.700001	+00.000000	3	
+00187.139999	+35.845024	+128.625626	+01.000438	+18.360001	078.3	062.799999	+00.000000	4	
+00189.710007	+35.845074	+128.625549	+01.005103	+18.330000	077.1	063.099998	+00.000000	5	
+00195.619995	+35.845139	+128.625549	+00.921565	+18.389999	077.1	064.000000	+00.000000	6	
+00202.050003	+35.845139	+128.625610	+00.925314	+18.360001	075.9	064.000000	+00.000000	7	
+00207.229996	+35.845089	+128.625641	+00.929461	+18.230000	074.7	064.300003	+00.000000	8	
+00209.779999	+35.845024	+128.625610	+00.916532	+18.230000	071.7	064.300003	+00.000000	9	
+00216.690002	+35.844990	+128.625534	+00.944641	+18.200001	068.0	064.300003	+00.000000	10	
+00222.949997	+35.845005	+128.625504	+00.971590	+18.120001	066.9	063.900002	+00.000000	11	
+00226.869995	+35.845066	+128.625504	+01.018677	+18.070000	066.4	064.000000	+00.000000	12	
+00231.889999	+35.845108	+128.625549	+01.040003	+18.010000	068.0	064.099998	+00.000000	13	
+00237.770004	+35.845100	+128.625595	+01.030984	+17.990000	068.8	064.500000	+00.000000	14	
+00242.139999	+35.845032	+128.625610	+01.029037	+17.930000	069.1	066.199997	+00.000000	15	
+00248.550003	+35.844990	+128.625534	+01.038430	+17.850000	069.6	065.699997	+00.000000	16	
+00253.619995	+35.845039	+128.625473	+01.059162	+17.799999	071.3	066.000000	+00.000000	17	
+00259.809998	+35.845100	+128.625488	+01.101061	+17.770000	074.1	066.599998	+00.000000	18	
+00265.779999	+35.845093	+128.625580	+01.104866	+17.770000	076.4	067.500000	+00.000000	19	
+00269.980011	+35.845016	+128.625595	+01.065133	+17.670000	077.7	068.199997	+00.000000	20	
+00276.410004	+35.844982	+128.625504	+01.004976	+17.590000	077.3	067.500000	+00.000000	21	
+00281.489990	+35.845039	+128.625427	+00.975756	+17.559999	076.0	067.300003	+00.000000	22	
+00284.440002	+35.845116	+128.625443	+00.956117	+17.559999	077.6	067.400002	+00.000000	23	
+00289.809998	+35.845139	+128.625519	+00.921530	+17.559999	079.8	066.400002	+00.000000	24	
+00295.750000	+35.845100	+128.625549	+00.880632	+17.590000	081.4	065.000000	+00.000000	25	
+00300.630005	+35.845039	+128.625519	+00.871577	+17.590000	080.6	064.800003	+00.000000	26	
+00306.989990	+35.845024	+128.625443	+00.844163	+17.510000	079.6	065.500000	+00.000000	27	
+00313.589996	+35.845058	+128.625473	+00.824324	+17.456667	077.7	065.900002	+00.000000	28	
+00320.190002	+35.845093	+128.625488	+00.821510	+17.403334	076.3	066.300003	+00.000000	29	
+00326.790009	+35.845127	+128.625519	+00.843843	+17.350000	076.5	066.699997	+00.000000	30	
+00333.040009	+35.845089	+128.625488	+00.853191	+17.240000	078.2	066.599998	+00.000000	31	
+00335.190002	+35.845074	+128.625381	+00.854713	+17.240000	079.8	066.500000	+00.000000	32	
+00338.910004	+35.845100	+128.625290	+00.840125	+17.219999	081.5	066.400002	+00.000000	33	
+00344.040009	+35.845135	+128.625244	+00.831254	+17.219999	080.9	065.699997	+00.000000	34	
+00349.209991	+35.845161	+128.625275	+00.831664	+17.219999	080.7	066.099998	+00.000000	35	
+00354.829987	+35.845184	+128.625336	+00.843739	+17.190001	079.2	066.400002	+00.000000	36	
+00361.369995	+35.845161	+128.625351	+00.829406	+17.190001	080.8	063.700001	+00.000000	37	
+00367.609985	+35.845108	+128.625351	+00.814964	+17.110001	082.8	064.599998	+00.000000	38	
+00374.070007	+35.845100	+128.625259	+00.780793	+17.030001	085.4	064.400002	+00.000000	39	
+00379.230011	+35.845158	+128.625214	+00.709729	+17.010000	086.8	062.000000	+00.000000	40	
+00385.029999	+35.845219	+128.625259	+00.656033	+17.010000	086.9	064.300003	+00.000000	41	
+00390.989990	+35.845200	+128.625351	+00.627930	+16.980000	088.1	063.200001	+00.000000	42	
+00397.079987	+35.845123	+128.625351	+00.626082	+16.850000	091.4	062.900002	+00.000000	43	
+00402.040009	+35.845089	+128.625259	+00.643952	+16.799999	094.6	065.300003	+00.000000	44	
+00407.000000	+35.845123	+128.625183	+00.669948	+16.740000	095.9	065.400002	+00.000000	45	
+00412.070007	+35.845184	+128.625198	+00.670774	+16.670000	098.0	067.599998	+00.000000	46	
+00417.089996	+35.845207	+128.625259	+00.664039	+16.690001	103.0	066.400002	+00.000000	47	
+00422.630005	+35.845169	+128.625336	+00.647724	+16.639999	105.1	066.300003	+00.000000	48	
+00428.070007	+35.845104	+128.625305	+00.666137	+16.590000	105.2	066.800003	+00.000000	49	
+00432.910004	+35.845074	+128.625229	+00.714748	+16.510000	105.6	067.099998	+00.000000	50	
+00439.480011	+35.845089	+128.625153	+00.775475	+16.510000	107.4	065.500000	+00.000000	51	
+00445.279999	+35.845127	+128.625137	+00.794736	+16.480000	108.4	066.000000	+00.000000	52	
+00449.709991	+35.845169	+128.625198	+00.822441	+16.510000	105.3	062.400002	+00.000000	53	
+00455.890015	+35.845169	+128.625259	+00.886699	+16.480000	102.4	062.500000	+00.000000	54	
+00463.250000	+35.845142	+128.625259	+00.912744	+16.510000	101.4	058.200001	+00.000000	55	
+00470.609985	+35.845150	+128.625229	+00.867930	+16.639999	099.5	057.200001	+00.000000	56	
+00478.519989	+35.845184	+128.625229	+00.869805	+16.740000	093.7	058.700001	+00.000000	57	
+00486.040009	+35.845192	+128.625275	+00.934815	+16.719999	088.2	059.099998	+00.000000	58	
+00492.890015	+35.845169	+128.625305	+01.015178	+16.690001	086.6	060.099998	+00.000000	59	
+00501.299988	+35.845142	+128.625305	+01.065284	+16.610001	086.5	060.700001	+00.000000	60	
+00508.359985	+35.845161	+128.625275	+01.093586	+16.540001	085.5	061.200001	+00.000000	61	
+00515.840027	+35.845192	+128.625244	+01.153883	+16.540001	083.4	063.299999	+00.000000	62	
+00522.520020	+35.845192	+128.625214	+01.246650	+16.510000	081.9	064.699997	+00.000000	63	
+00525.809998	+35.845177	+128.625153	+01.304963	+16.459999	082.6	065.099998	+00.000000	64	
+00530.239990	+35.845200	+128.625046	+01.324492	+16.430000	081.7	065.500000	+00.000000	65	
+00535.469971	+35.845249	+128.625046	+01.385922	+16.459999	079.0	066.000000	+00.000000	66	
+00541.330017	+35.845268	+128.625107	+01.495643	+16.410000	078.0	066.300003	+00.000000	67	
