Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00084.449997	+35.845074	+128.626038	+04.020000	+19.700001	131.9	041.500000	+00.000000	0	
+00099.019997	+35.845055	+128.626022	+01.543999	+17.637501	315.5	038.900002	+00.000000	1	
+00102.050003	+35.845047	+128.626022	+01.544730	+17.570000	315.6	038.900002	+00.000000	2	
+00100.430000	+35.845058	+128.625977	+01.545301	+17.469999	315.7	038.599998	+00.000000	3	
+00100.040001	+35.845074	+128.625900	+01.545760	+17.440001	315.8	039.000000	+00.000000	4	
+00097.970001	+35.845066	+128.625870	+01.558699	+17.570000	316.1	039.200001	+00.000000	5	
+00098.059998	+35.845055	+128.625793	+01.575212	+17.600000	316.7	039.099998	+00.000000	6	
+00099.870003	+35.845047	+128.625763	+01.603214	+17.490000	316.9	039.200001	+00.000000	7	
+00102.339996	+35.845039	+128.625778	+01.642296	+17.549999	316.6	039.599998	+00.000000	8	
+00104.709999	+35.845016	+128.625824	+01.685317	+17.680000	315.8	039.799999	+00.000000	9	
+00107.480003	+35.845013	+128.625885	+01.716114	+17.650000	314.6	039.700001	+00.000000	10	
+00112.339996	+35.845005	+128.625946	+01.741940	+17.570000	313.5	039.500000	+00.000000	11	
+00116.849998	+35.844997	+128.626007	+01.769321	+17.520000	312.5	039.799999	+00.000000	12	
+00120.160004	+35.844963	+128.626022	+01.797240	+17.360001	311.5	039.799999	+00.000000	13	
+00126.010002	+35.844929	+128.626053	+01.833565	+17.200001	310.6	039.799999	+00.000000	14	
+00132.410004	+35.844906	+128.626053	+01.881600	+17.070000	309.5	039.900002	+00.000000	15	
+00137.470001	+35.844887	+128.626053	+01.929811	+16.969999	307.7	039.900002	+00.000000	16	
+00142.660004	+35.844875	+128.626038	+01.976446	+16.920000	305.6	040.000000	+00.000000	17	
+00147.350006	+35.844852	+128.626022	+02.001692	+16.840000	303.5	040.299999	+00.000000	18	
+00152.789993	+35.844818	+128.626053	+02.017490	+16.760000	301.8	040.400002	+00.000000	19	
+00157.910004	+35.844788	+128.626114	+02.032510	+16.600000	300.5	040.400002	+00.000000	20	
+00164.529999	+35.844772	+128.626175	+02.061571	+16.549999	299.6	040.700001	+00.000000	21	
+00171.619995	+35.844780	+128.626251	+02.103556	+16.549999	298.6	041.000000	+00.000000	22	
+00177.990005	+35.844788	+128.626297	+02.212426	+16.450001	296.6	041.099998	+00.000000	23	
+00182.509995	+35.844803	+128.626328	+02.293116	+16.420000	295.3	041.200001	+00.000000	24	
+00187.619995	+35.844803	+128.626328	+02.356241	+16.270000	294.3	041.299999	+00.000000	25	
+00192.490005	+35.844784	+128.626297	+02.404014	+16.190001	293.2	041.700001	+00.000000	26	
