Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00094.660004	+35.844749	+128.625504	+01.270000	+20.840000	102.2	014.000000	+00.000000	0	
+00102.500000	+35.844738	+128.625534	+01.381521	+20.840000	340.7	013.900000	+00.000000	1	
+00107.250000	+35.844734	+128.625534	+01.427512	+20.780001	340.7	014.100000	+00.000000	2	
+00111.269997	+35.844727	+128.625534	+01.464869	+20.700001	341.2	013.900000	+00.000000	3	
+00116.699997	+35.844719	+128.625580	+01.498278	+20.670000	341.7	013.600000	+00.000000	4	
+00121.160004	+35.844727	+128.625610	+01.527774	+20.610001	342.2	013.800000	+00.000000	5	
+00125.510002	+35.844746	+128.625641	+01.595997	+20.610001	342.0	013.800000	+00.000000	6	
+00130.919998	+35.844738	+128.625656	+01.658028	+20.610001	342.1	013.600000	+00.000000	7	
+00136.210007	+35.844746	+128.625656	+01.707722	+20.590000	342.7	013.700000	+00.000000	8	
+00140.100006	+35.844719	+128.625656	+01.751262	+20.420000	343.3	013.400000	+00.000000	9	
+00146.130005	+35.844711	+128.625656	+01.769357	+20.389999	344.2	013.700000	+00.000000	10	
+00151.570007	+35.844711	+128.625656	+01.777969	+20.340000	344.9	013.700000	+00.000000	11	
+00156.869995	+35.844715	+128.625656	+01.778529	+20.280001	345.5	013.600000	+00.000000	12	
+00162.339996	+35.844719	+128.625626	+01.770062	+20.200001	345.7	013.800000	+00.000000	13	
+00167.779999	+35.844711	+128.625610	+01.755791	+20.170000	345.7	013.900000	+00.000000	14	
+00172.910004	+35.844692	+128.625595	+01.738105	+20.139999	345.5	014.100000	+00.000000	15	
+00177.509995	+35.844658	+128.625595	+01.715753	+20.090000	345.4	014.300000	+00.000000	16	
+00180.830002	+35.844627	+128.625610	+01.689782	+20.090000	345.4	014.100000	+00.000000	17	
+00183.369995	+35.844593	+128.625610	+01.668980	+20.000000	345.2	014.100000	+00.000000	18	
+00185.520004	+35.844559	+128.625610	+01.651562	+19.980000	344.9	014.400000	+00.000000	19	
+00187.630005	+35.844524	+128.625610	+01.633752	+19.980000	344.2	014.500000	+00.000000	20	
+00190.369995	+35.844505	+128.625580	+01.620167	+19.980000	343.5	014.400000	+00.000000	21	
+00194.360001	+35.844475	+128.625580	+01.610839	+19.950001	342.7	014.400000	+00.000000	22	
+00198.440002	+35.844463	+128.625595	+01.605221	+19.889999	342.0	014.600000	+00.000000	23	
+00202.910004	+35.844440	+128.625610	+01.603645	+19.840000	341.2	014.600000	+00.000000	24	
+00207.059998	+35.844421	+128.625626	+01.607466	+19.809999	340.3	014.600000	+00.000000	25	
+00209.949997	+35.844398	+128.625656	+01.613979	+19.760000	339.6	014.600000	+00.000000	26	
+00211.990005	+35.844372	+128.625687	+01.628275	+19.760000	338.8	014.700000	+00.000000	27	
+00213.850006	+35.844345	+128.625717	+01.646234	+19.760000	338.0	014.800000	+00.000000	28	
+00216.369995	+35.844307	+128.625732	+01.661843	+19.730000	337.2	014.800000	+00.000000	29	
+00219.610001	+35.844273	+128.625748	+01.681083	+19.700001	336.5	014.900000	+00.000000	30	
+00222.490005	+35.844246	+128.625763	+01.700750	+19.680000	336.2	014.800000	+00.000000	31	
+00225.970001	+35.844219	+128.625763	+01.719901	+19.650000	336.2	014.900000	+00.000000	32	
+00228.160004	+35.844200	+128.625748	+01.734401	+19.570000	336.3	014.700000	+00.000000	33	
+00230.330002	+35.844170	+128.625732	+01.744964	+19.510000	336.3	014.600000	+00.000000	34	
+00232.470001	+35.844147	+128.625732	+01.751034	+19.480000	336.4	014.700000	+00.000000	35	
+00234.550003	+35.844128	+128.625717	+01.751955	+19.459999	336.5	014.500000	+00.000000	36	
+00236.850006	+35.844101	+128.625717	+01.749528	+19.430000	336.4	014.700000	+00.000000	37	
+00239.869995	+35.844078	+128.625717	+01.740021	+19.400000	336.2	014.600000	+00.000000	38	
+00243.929993	+35.844059	+128.625717	+01.732599	+19.350000	335.9	014.700000	+00.000000	39	
+00248.089996	+35.844032	+128.625732	+01.723370	+19.320000	335.6	014.900000	+00.000000	40	
+00251.210007	+35.844009	+128.625732	+01.713661	+19.320000	335.0	015.000000	+00.000000	41	
+00253.679993	+35.843998	+128.625732	+01.705301	+19.350000	334.2	015.000000	+00.000000	42	
+00256.549988	+35.843983	+128.625717	+01.694405	+19.320000	333.5	015.100000	+00.000000	43	
+00259.309998	+35.843967	+128.625702	+01.684919	+19.290001	332.5	015.200000	+00.000000	44	
+00262.309998	+35.843960	+128.625687	+01.675465	+19.270000	331.6	015.100000	+00.000000	45	
+00265.709991	+35.843948	+128.625702	+01.665070	+19.270000	330.8	015.200000	+00.000000	46	
+00268.739990	+35.843941	+128.625732	+01.651913	+19.209999	330.1	015.200000	+00.000000	47	
+00271.720001	+35.843933	+128.625748	+01.636427	+19.209999	329.3	015.300000	+00.000000	48	
+00274.929993	+35.843933	+128.625778	+01.628013	+19.160000	328.3	015.200000	+00.000000	49	
+00278.350006	+35.843941	+128.625793	+01.618127	+19.100000	327.1	015.100000	+00.000000	50	
+00281.179993	+35.843948	+128.625793	+01.611593	+19.049999	325.9	015.200000	+00.000000	51	
+00284.160004	+35.843948	+128.625778	+01.598623	+19.000000	324.9	015.200000	+00.000000	52	
+00287.660004	+35.843941	+128.625763	+01.580180	+18.969999	324.0	015.200000	+00.000000	53	
+00291.700012	+35.843933	+128.625748	+01.557276	+18.910000	323.2	015.300000	+00.000000	54	
+00295.679993	+35.843925	+128.625748	+01.530941	+18.889999	322.6	015.200000	+00.000000	55	
+00299.600006	+35.843918	+128.625763	+01.503333	+18.860001	322.0	015.200000	+00.000000	56	
+00303.040009	+35.843914	+128.625793	+01.481031	+18.830000	321.2	015.300000	+00.000000	57	
+00305.899994	+35.843914	+128.625839	+01.465482	+18.809999	320.3	015.400000	+00.000000	58	
+00308.660004	+35.843914	+128.625885	+01.451538	+18.780001	319.5	015.500000	+00.000000	59	
+00311.470001	+35.843906	+128.625931	+01.430889	+18.750000	318.9	015.400000	+00.000000	60	
+00314.359985	+35.843899	+128.625977	+01.403884	+18.719999	318.5	015.500000	+00.000000	61	
+00317.500000	+35.843899	+128.626007	+01.371327	+18.719999	317.9	015.500000	+00.000000	62	
+00320.380005	+35.843884	+128.626022	+01.338935	+18.670000	317.0	015.500000	+00.000000	63	
+00322.950012	+35.843872	+128.626038	+01.307562	+18.639999	315.8	015.400000	+00.000000	64	
+00325.239990	+35.843857	+128.626068	+01.280591	+18.620001	314.3	015.400000	+00.000000	65	
+00327.720001	+35.843834	+128.626068	+01.257853	+18.590000	312.6	015.400000	+00.000000	66	
+00330.459991	+35.843811	+128.626083	+01.242233	+18.540001	311.0	015.500000	+00.000000	67	
+00333.179993	+35.843792	+128.626099	+01.226605	+18.510000	309.5	015.500000	+00.000000	68	
+00336.230011	+35.843781	+128.626099	+01.211061	+18.510000	308.2	015.400000	+00.000000	69	
+00339.559998	+35.843781	+128.626114	+01.197112	+18.450001	307.1	015.500000	+00.000000	70	
+00342.970001	+35.843788	+128.626114	+01.188694	+18.400000	305.9	015.400000	+00.000000	71	
+00346.600006	+35.843803	+128.626114	+01.186777	+18.370001	304.6	015.400000	+00.000000	72	
+00349.820007	+35.843815	+128.626129	+01.189135	+18.350000	303.5	015.500000	+00.000000	73	
+00353.059998	+35.843822	+128.626129	+01.192379	+18.320000	302.6	015.500000	+00.000000	74	
+00356.399994	+35.843834	+128.626144	+01.197737	+18.290001	301.9	015.600000	+00.000000	75	
+00359.980011	+35.843834	+128.626160	+01.202540	+18.240000	301.5	015.600000	+00.000000	76	
+00363.910004	+35.843834	+128.626175	+01.208297	+18.209999	301.5	015.600000	+00.000000	77	
+00368.100006	+35.843834	+128.626205	+01.213570	+18.160000	301.8	015.600000	+00.000000	78	
+00371.890015	+35.843830	+128.626221	+01.222036	+18.129999	301.9	015.600000	+00.000000	79	
+00374.209991	+35.843822	+128.626236	+01.235216	+18.129999	302.2	015.500000	+00.000000	80	
+00376.179993	+35.843822	+128.626221	+01.252527	+18.129999	302.5	015.700000	+00.000000	81	
+00378.609985	+35.843815	+128.626221	+01.266199	+18.110001	302.9	015.600000	+00.000000	82	
+00381.179993	+35.843815	+128.626190	+01.280933	+18.049999	303.4	015.700000	+00.000000	83	
+00383.640015	+35.843803	+128.626190	+01.295966	+18.030001	304.0	015.700000	+00.000000	84	
+00386.119995	+35.843792	+128.626190	+01.313454	+18.030001	304.6	015.800000	+00.000000	85	
+00388.299988	+35.843773	+128.626221	+01.330429	+18.000000	305.1	015.800000	+00.000000	86	
+00390.480011	+35.843758	+128.626266	+01.346337	+17.969999	305.4	015.900000	+00.000000	87	
+00393.170013	+35.843739	+128.626282	+01.358066	+17.969999	305.5	015.900000	+00.000000	88	
+00395.760010	+35.843731	+128.626328	+01.366447	+17.950001	305.5	016.000000	+00.000000	89	
+00398.309998	+35.843719	+128.626328	+01.372612	+17.920000	305.4	015.900000	+00.000000	90	
+00400.760010	+35.843712	+128.626328	+01.373443	+17.889999	305.2	015.900000	+00.000000	91	
+00403.559998	+35.843712	+128.626328	+01.370132	+17.870001	305.0	016.000000	+00.000000	92	
+00406.320007	+35.843719	+128.626312	+01.367663	+17.809999	305.0	015.900000	+00.000000	93	
+00408.769989	+35.843719	+128.626312	+01.361866	+17.790001	305.1	015.900000	+00.000000	94	
+00410.839996	+35.843712	+128.626328	+01.353276	+17.790001	305.3	015.900000	+00.000000	95	
+00413.179993	+35.843697	+128.626373	+01.342703	+17.730000	305.6	016.100000	+00.000000	96	
+00415.940002	+35.843678	+128.626404	+01.328641	+17.709999	306.0	016.100000	+00.000000	97	
+00418.959991	+35.843662	+128.626434	+01.312399	+17.680000	306.5	016.000000	+00.000000	98	
+00421.850006	+35.843651	+128.626465	+01.298218	+17.650000	307.0	016.100000	+00.000000	99	
+00424.750000	+35.843643	+128.626465	+01.284426	+17.629999	307.6	016.100000	+00.000000	100	
+00427.320007	+35.843651	+128.626450	+01.271052	+17.600000	308.2	016.200001	+00.000000	101	
+00429.730011	+35.843662	+128.626419	+01.262532	+17.570000	308.8	016.100000	+00.000000	102	
+00432.260010	+35.843670	+128.626419	+01.253916	+17.549999	309.4	016.100000	+00.000000	103	
+00435.279999	+35.843689	+128.626419	+01.250372	+17.490000	309.9	016.200001	+00.000000	104	
+00438.309998	+35.843697	+128.626434	+01.254168	+17.490000	310.3	016.299999	+00.000000	105	
+00441.010010	+35.843697	+128.626465	+01.261135	+17.469999	310.8	016.299999	+00.000000	106	
+00443.369995	+35.843685	+128.626480	+01.275935	+17.440001	311.2	016.299999	+00.000000	107	
+00445.670013	+35.843662	+128.626495	+01.297573	+17.410000	311.5	016.299999	+00.000000	108	
+00448.089996	+35.843632	+128.626495	+01.324126	+17.389999	311.9	016.299999	+00.000000	109	
+00450.929993	+35.843609	+128.626480	+01.353939	+17.360001	312.4	016.400000	+00.000000	110	
+00453.950012	+35.843578	+128.626465	+01.386648	+17.340000	312.7	016.500000	+00.000000	111	
+00456.769989	+35.843563	+128.626450	+01.419149	+17.340000	313.1	016.500000	+00.000000	112	
+00459.809998	+35.843559	+128.626465	+01.451197	+17.309999	313.2	016.400000	+00.000000	113	
+00462.989990	+35.843552	+128.626495	+01.486629	+17.260000	313.3	016.500000	+00.000000	114	
+00466.829987	+35.843559	+128.626526	+01.522687	+17.200001	313.2	016.500000	+00.000000	115	
+00470.470001	+35.843563	+128.626556	+01.553431	+17.180000	313.0	016.400000	+00.000000	116	
+00473.910004	+35.843559	+128.626572	+01.580684	+17.150000	312.9	016.600000	+00.000000	117	
+00477.279999	+35.843540	+128.626587	+01.600237	+17.120001	313.1	016.500000	+00.000000	118	
+00480.510010	+35.843510	+128.626587	+01.616551	+17.070000	313.4	016.400000	+00.000000	119	
+00484.010010	+35.843475	+128.626572	+01.636091	+17.049999	313.7	016.600000	+00.000000	120	
+00488.250000	+35.843437	+128.626572	+01.656471	+17.020000	314.2	016.600000	+00.000000	121	
+00492.420013	+35.843414	+128.626587	+01.680483	+16.969999	314.7	016.600000	+00.000000	122	
+00496.109985	+35.843410	+128.626602	+01.703129	+16.969999	315.3	016.500000	+00.000000	123	
+00499.179993	+35.843418	+128.626648	+01.714265	+16.910000	316.0	016.700001	+00.000000	124	
+00502.079987	+35.843437	+128.626663	+01.712005	+16.889999	316.8	016.900000	+00.000000	125	
+00504.850006	+35.843452	+128.626709	+01.694603	+16.840000	317.9	016.900000	+00.000000	126	
+00507.929993	+35.843460	+128.626740	+01.670621	+16.809999	319.0	016.900000	+00.000000	127	
+00511.459991	+35.843452	+128.626770	+01.654768	+16.780001	320.0	017.000000	+00.000000	128	
+00515.130005	+35.843433	+128.626785	+01.643734	+16.760000	320.9	017.000000	+00.000000	129	
+00518.510010	+35.843403	+128.626801	+01.642198	+16.730000	322.0	016.799999	+00.000000	130	
+00521.409973	+35.843376	+128.626801	+01.638958	+16.709999	323.3	016.799999	+00.000000	131	
+00524.619995	+35.843357	+128.626801	+01.633558	+16.680000	324.7	016.799999	+00.000000	132	
+00528.239990	+35.843346	+128.626785	+01.623218	+16.629999	326.3	016.900000	+00.000000	133	
+00531.859985	+35.843342	+128.626785	+01.613664	+16.600000	328.1	016.700001	+00.000000	134	
+00535.530029	+35.843342	+128.626785	+01.614315	+16.580000	329.7	016.799999	+00.000000	135	
+00539.289978	+35.843330	+128.626770	+01.633106	+16.520000	331.3	016.799999	+00.000000	136	
+00543.140015	+35.843311	+128.626785	+01.668752	+16.500000	332.9	016.799999	+00.000000	137	
+00546.849976	+35.843281	+128.626816	+01.708699	+16.469999	334.4	016.700001	+00.000000	138	
+00550.650024	+35.843258	+128.626862	+01.750582	+16.420000	336.9	016.900000	+00.000000	139	
+00554.739990	+35.843239	+128.626907	+01.798364	+16.389999	339.2	016.900000	+00.000000	140	
+00559.270020	+35.843220	+128.626938	+01.839972	+16.340000	341.2	017.000000	+00.000000	141	
+00564.359985	+35.843220	+128.626984	+01.871142	+16.320000	343.3	016.900000	+00.000000	142	
+00569.950012	+35.843212	+128.627014	+01.898487	+16.209999	345.2	017.000000	+00.000000	143	
+00575.849976	+35.843212	+128.627029	+01.936299	+16.160000	347.0	017.000000	+00.000000	144	
+00581.194946	+35.843193	+128.627045	+01.985873	+16.119999	348.6	017.100000	+00.000000	145	
+00586.539978	+35.843174	+128.627060	+02.051587	+16.080000	350.7	017.200001	+00.000000	146	
+00590.900024	+35.843140	+128.627075	+02.109131	+16.030001	352.7	017.200001	+00.000000	147	
+00595.070007	+35.843094	+128.627090	+02.158903	+16.000000	354.6	017.299999	+00.000000	148	
+00599.640015	+35.843052	+128.627075	+02.207875	+15.930000	356.4	017.299999	+00.000000	149	
+00604.500000	+35.843029	+128.627060	+02.246000	+15.900000	357.8	017.299999	+00.000000	150	
+00609.039978	+35.843025	+128.627045	+02.275780	+15.880000	358.9	017.400000	+00.000000	151	
+00612.520020	+35.843029	+128.627045	+02.307246	+15.820000	000.3	017.400000	+00.000000	152	
+00615.799988	+35.843048	+128.627014	+02.354834	+15.820000	001.2	017.500000	+00.000000	153	
+00619.609985	+35.843060	+128.626999	+02.409717	+15.770000	002.0	017.500000	+00.000000	154	
+00623.960022	+35.843052	+128.626968	+02.459814	+15.720000	002.9	017.600000	+00.000000	155	
+00628.409973	+35.843044	+128.626953	+02.499044	+15.670000	003.8	017.500000	+00.000000	156	
+00632.979980	+35.843018	+128.626938	+02.521342	+15.620000	004.4	017.700001	+00.000000	157	
